dt,open_price,high,low,close_price,volume
2015-02-17 20:30:00,128.03,128.12,127.93,127.97,541341
2015-02-17 20:35:00,127.97,128.00,127.67,127.72,781730
2015-02-17 20:40:00,127.73,127.84,127.72,127.83,431964
2015-02-17 20:45:00,127.83,127.86,127.71,127.75,492186
2015-02-17 20:50:00,127.75,127.80,127.56,127.73,727379
2015-02-17 20:55:00,127.70,127.74,127.66,127.67,687113
2015-02-17 21:00:00,127.67,127.83,127.53,127.83,3687502
2015-02-18 14:30:00,127.62,127.80,127.45,127.66,465408
2015-02-18 14:35:00,127.64,127.90,127.46,127.71,1160996
2015-02-18 14:40:00,127.72,128.20,127.68,128.17,1152784
2015-02-18 14:45:00,128.17,128.29,128.01,128.14,1122787
2015-02-18 14:50:00,128.15,128.20,127.91,128.14,919730
2015-02-18 14:55:00,128.14,128.20,127.95,128.03,708642
2015-02-18 15:00:00,128.03,128.08,127.85,128.03,675775
2015-02-18 15:05:00,128.04,128.08,127.92,128.04,615145
2015-02-18 15:10:00,128.04,128.18,128.03,128.09,812999
2015-02-18 15:15:00,128.08,128.12,127.73,127.90,844706
2015-02-18 15:20:00,127.91,127.97,127.75,127.85,537872
2015-02-18 15:25:00,127.84,127.85,127.53,127.68,800687
2015-02-18 15:30:00,127.68,127.85,127.63,127.69,607884
2015-02-18 15:35:00,127.70,127.91,127.63,127.86,648460
2015-02-18 15:40:00,127.87,127.98,127.75,127.97,418809
2015-02-18 15:45:00,127.97,128.09,127.96,128.05,819969
2015-02-18 15:50:00,128.06,128.10,127.99,128.03,413230
2015-02-18 15:55:00,128.03,128.16,127.96,128.15,575218
2015-02-18 16:00:00,128.15,128.27,128.07,128.16,912306
2015-02-18 16:05:00,128.17,128.19,128.00,128.04,412080
2015-02-18 16:10:00,128.04,128.10,128.00,128.03,363928
2015-02-18 16:15:00,128.03,128.09,127.90,127.99,376961
2015-02-18 16:20:00,128.00,128.03,127.90,127.97,298494
2015-02-18 16:25:00,127.97,128.02,127.84,127.96,376875
2015-02-18 16:30:00,127.95,128.08,127.91,128.03,339438
2015-02-18 16:35:00,128.04,128.06,127.91,127.93,278400
2015-02-18 16:40:00,127.93,128.09,127.91,128.08,297954
2015-02-18 16:45:00,128.08,128.09,127.95,128.00,347566
2015-02-18 16:50:00,127.99,128.01,127.91,127.98,230246
2015-02-18 16:55:00,127.99,128.02,127.92,127.99,239776
2015-02-18 17:00:00,127.98,127.99,127.88,127.91,261755
2015-02-18 17:05:00,127.91,127.98,127.90,127.96,355639
2015-02-18 17:10:00,127.96,127.99,127.85,127.88,240933
2015-02-18 17:15:00,127.87,127.93,127.87,127.91,231820
2015-02-18 17:20:00,127.91,127.96,127.88,127.95,268892
2015-02-18 17:25:00,127.96,128.00,127.88,127.97,326581
2015-02-18 17:30:00,127.97,128.05,127.96,127.99,279247
2015-02-18 17:35:00,127.98,127.99,127.86,127.91,260126
2015-02-18 17:40:00,127.91,127.92,127.74,127.79,459000
2015-02-18 17:45:00,127.78,127.87,127.74,127.79,265064
2015-02-18 17:50:00,127.80,127.86,127.77,127.82,254507
2015-02-18 17:55:00,127.82,127.83,127.69,127.69,360322
2015-02-18 18:00:00,127.69,127.75,127.64,127.73,329747
2015-02-18 18:05:00,127.72,127.75,127.71,127.73,265435
2015-02-18 18:10:00,127.73,127.84,127.70,127.82,231347
2015-02-18 18:15:00,127.84,127.85,127.76,127.81,224378
2015-02-18 18:20:00,127.80,127.85,127.77,127.78,176744
2015-02-18 18:25:00,127.78,127.82,127.70,127.76,200690
2015-02-18 18:30:00,127.75,127.78,127.70,127.77,174232
2015-02-18 18:35:00,127.78,127.82,127.74,127.75,221602
2015-02-18 18:40:00,127.75,127.76,127.65,127.74,220836
2015-02-18 18:45:00,127.74,127.75,127.69,127.73,216358
2015-02-18 18:50:00,127.73,127.79,127.66,127.69,223290
2015-02-18 18:55:00,127.69,127.77,127.66,127.72,209347
2015-02-18 19:00:00,127.72,127.76,127.68,127.69,163486
2015-02-18 19:05:00,127.70,128.07,127.69,127.94,843846
2015-02-18 19:10:00,127.96,128.05,127.85,127.91,657818
